frame,shot,motion,coverage,effective_coverage,coverage_left,coverage_right,stale_seconds,wings_on
0,0,ROTATION,0.5,0.2138,0.0,1.0,0.75,0
1,0,ROTATION,0.5,0.2305,0.0,1.0,0.71,0
2,0,ROTATION,0.5031,0.2468,0.0063,1.0,0.67,0
3,0,ROTATION,0.5073,0.2646,0.0146,1.0,0.62,0
4,0,ROTATION,0.5125,0.2829,0.025,1.0,0.58,0
5,0,ROTATION,0.5198,0.3005,0.0396,1.0,0.58,0
6,0,ROTATION,0.5292,0.3194,0.0583,1.0,0.54,0
7,0,ROTATION,0.5396,0.338,0.0792,1.0,0.5,0
8,0,ROTATION,0.5521,0.3571,0.1042,1.0,0.46,0
9,0,ROTATION,0.5667,0.3775,0.1333,1.0,0.42,0
10,0,ROTATION,0.5813,0.3975,0.1625,1.0,0.42,0
11,0,ROTATION,0.599,0.4186,0.1979,1.0,0.38,0
12,0,ROTATION,0.6177,0.4398,0.2354,1.0,0.38,0
13,0,ROTATION,0.6377,0.4604,0.2754,1.0,0.33,1
14,0,ROTATION,0.6604,0.4827,0.3208,1.0,0.33,1
15,0,ROTATION,0.6825,0.504,0.3651,1.0,0.33,1
16,0,ROTATION,0.7071,0.5261,0.4142,1.0,0.33,1
17,0,ROTATION,0.7328,0.5482,0.4656,1.0,0.29,1
18,0,ROTATION,0.7594,0.5704,0.5188,1.0,0.29,1
19,0,ROTATION,0.7895,0.5936,0.5792,0.9999,0.29,1
20,0,ROTATION,0.8186,0.6156,0.6375,0.9997,0.29,1
21,0,ROTATION,0.8498,0.6382,0.7,0.9995,0.29,1
22,0,ROTATION,0.8823,0.6608,0.7646,1.0,0.29,1
23,0,ROTATION,0.9158,0.6829,0.8316,1.0,0.29,1
24,0,ROTATION,0.9479,0.7035,0.8958,1.0,0.29,1
25,0,ROTATION,0.9849,0.7261,0.9698,1.0,0.29,1
26,0,ROTATION,0.9998,0.7416,0.9996,1.0,0.29,1
27,0,ROTATION,0.9922,0.7489,0.9843,1.0,0.29,1
28,0,ROTATION,0.9997,0.7602,1.0,0.9994,0.29,1
29,0,ROTATION,0.9996,0.7665,1.0,0.9991,0.29,1
30,0,ROTATION,0.9975,0.7713,0.9958,0.9991,0.29,1
31,0,ROTATION,0.9993,0.7768,0.9999,0.9987,0.29,1
32,0,ROTATION,0.9983,0.781,1.0,0.9967,0.25,1
